,cusid,firstname,lastname,age,email,adress,lastdateofinvoice,totalpiclothes,totalpieshoes,timesbought,totalamclothes,totalamshoes,maxamclothes,maxamshoes,loyalty
0,custid1,Ζαφείριος,Χατζόπουλος,46,mpalaskas.astero@example.com,"Σκεπαστού 422,
ΤΚ 871 13 Τρίκαλα",2024-10-31 16:31:50,172.0,165.0,49,4453,775,151,123.0,nl
1,custid2,Ήβη,Οικονομοπούλου,32,ytsakalakou@example.com,"Χαβδάτων 31,
ΤΚ 04167 Καστοριά",2024-11-29 03:27:16,151.0,83.0,37,4137,1874,73,87.0,l
2,custid3,Πολυχρόνιος,Γιαννακόπουλος,54,dtsoupras@example.org,"Ανθρακίτη 21,
ΤΚ 71397 Κέρκυρα",2024-07-22 06:59:05,114.0,129.0,33,4140,3190,114,109.0,nl
3,custid4,Αδάμ,Μπερμπατιώτης,24,xtsellos@example.org,"Λογκάκη 22,
ΤΚ 135 55 Καστοριά",2024-02-21 19:59:07,150.0,114.0,27,4187,2996,200,200.0,nl
4,custid5,Κάρολος,,-25,yfilippopoulos@example.net,"Γιαννακοχωρίου 7,
ΤΚ 692 62 Τρίπολη",2024-01-26 01:12:13,115.0,189.0,23,3807,3406,97,107.0,nl
5,custid6,Τζανέτος,,33,spetraki@example.com,,2024-07-02 18:01:08,133.0,162.0,15,4094,751,52,188.0,l
6,custid7,Τριαντάφυλλος,Ρέντζος,82,io13@example.com,"Συνδένδρου 87-50,
33997 Μεσολόγγι",2024-03-20 02:47:15,194.0,66.0,0,493,3194,89,192.0,l
7,custid8,Ρέα,Μοσχοβάκη,31,kondylidis.avraam@example.org,"Ζεγλίνα 56,
54050 Σάμος",2024-11-24 15:09:54,127.0,11.0,15,3057,1205,98,26.0,l
8,custid9,-λέκτρα-Ζηναϊς,οΤαδρζτιύη,74,theano.mpali@example.net,"Πλατεία Βαρδάτων 29,
27998 Άρτα",,,134.0,10,4617,3405,174,124.0,nl
9,custid10,Διονύσιος,Κορδατζής,-41,diamanto70@example.com,"Κοντοδεσποτίου 76,
ΤΚ 409 14 Πύργος",2024-07-17 19:19:10,145.0,,17,4431,1421,46,131.0,l
10,custid11,Γαρύφαλλος,,44,kalomoira.mpalanika@example.net,"Ορεινού 797,
19302 Έδεσσα",2024-10-17 21:15:39,154.0,69.0,47,2884,3995,71,168.0,nl
11,custid12,Δαμασκηνή,Καλαμάρα,81,,"Κλοκοτού 694-921,
76051 Ζάκυνθος",2024-05-05 13:41:40,187.0,168.0,23,4672,3021,149,129.0,l
12,custid13,-αντώ,Σπανίδου,45,kapsi.ektoras@example.com,"Ταξιάρχου 44-00,
ΤΚ 914 05 Λάρισα",2024-05-19 08:53:44,144.0,182.0,44,3168,500,158,130.0,nl
13,custid14,Κυπριανή,,47,mkarakosta@example.net,"Βιρού 657,
279 29 Φλώρινα",2024-09-26 10:20:58,117.0,188.0,29,3254,1190,197,158.0,l
14,custid15,Μάνθα,Τριανταφύλλου,73,koutsouras.semina@example.com,"Καλοβάτου 82,
ΤΚ 36401 Σέρρες",2024-06-06 02:44:40,168.0,177.0,0,0,1280,186,200.0,nl
15,custid16,,Καλιάμπος,49,skyriakouli@example.org,"Μεγάλης Στέρνας 9,
ΤΚ 043 60 Λάρισα",2024-04-01 03:43:46,178.0,157.0,7,1822,1329,40,182.0,nl
16,custid17,Επαμεινώνδας,,33,karatasou.klimentini@example.com,"Παυλάκη 08-92,
ΤΚ 46524 Τρίπολη",2024-05-05 04:43:41,197.0,160.0,12,3052,2186,126,111.0,l
17,custid18,Ανέστης,Πατελής,55,thasitou.anthoulis@example.org,"Χοντζιά 57,
62495 Σέρρες",2024-02-13 18:11:15,129.0,121.0,47,3773,403,122,145.0,nl
18,custid19,Ζηναϊς,,38,margaris.ignatios@example.org,"Βασιλάκη 5,
ΤΚ 063 91 Γρεβενά",2024-08-02 16:01:22,165.0,138.0,45,1725,3287,21,39.0,l
19,custid20,Πραξιτέλης,Μπαγανάς,-40,spyridon99@example.org,"Λεωφ. Μάλτας 3,
83441 Πύργος",2024-10-06 14:45:11,101.0,116.0,34,3164,2359,158,181.0,nl
20,custid21,Βαλέριος-Λεονάρδος,Αετόπουλος,24,thomakou.sevastianos@example.org,"Σκληρού 497-390,
ΤΚ 155 26 Σπάρτη",2024-08-29 08:18:49,,15.0,29,1051,1315,82,34.0,nl
